Address,Title_link,Sale price,list-card-type,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal & interest,Mortage insurance,Property taxes,Home insurance,HOA fees,Utilities
"2969 SW 12th St, Miami, FL 33135",https://www.zillow.com/homedetails/2969-SW-12th-St-Miami-FL-33135/43847304_zpid/,"$479,900",Apartment for sale,"1,356 sqft","$457,552",Multi Family,1940,Forced air,Central,No Data,$354,,Great solar potentialSun Number™: 94.23,"$2,410","$1,794/mo",$0/mo,$448/mo,$168/mo,$0/mo,Not included
"488 NE 18th St UNIT 2700, Miami, FL",https://www.zillow.com/homedetails/488-NE-18th-St-UNIT-2700-Miami-FL-33132/249080267_zpid/,"$498,000",New construction,"1,171 sqft","$470,406",Condo,2018,Forced air,Central,1 space,$838/month,$425,Great solar potentialSun Number™: 94.3,"$3,339","$1,862/mo",$0/mo,$465/mo,$174/mo,$838/mo,Not included
"1300 Brickell Bay Dr APT 2707, Miami, FL 33131",https://www.zillow.com/homedetails/1300-Brickell-Bay-Dr-APT-2707-Miami-FL-33131/121343923_zpid/,"$315,000",Condo for sale,696 sqft,"$301,114",Condo,2014,Forced air,Central,Detached Garage,$676/month,$453,Great solar potentialSun Number™: 95.1,"$2,258","$1,178/mo",$0/mo,$294/mo,$110/mo,$676/mo,Not included
"26 NE 70th St, Miami, FL 33138",https://www.zillow.com/homedetails/26-NE-70th-St-Miami-FL-33138/43808268_zpid/,"$300,000",House for sale,"1,019 sqft","$283,964",Single Family,1939,Forced air,Central,"Carport, Attached Garage","5,884 sqft",$294,Great solar potentialSun Number™: 88.6,"$1,507","$1,122/mo",$0/mo,$280/mo,$105/mo,$0/mo,Not included
"888 Brickell Key Dr APT 1707, Miami, FL 33131",https://www.zillow.com/homedetails/888-Brickell-Key-Dr-APT-1707-Miami-FL-33131/43873215_zpid/,"$699,000",Condo for sale,"1,650 sqft",,Condo,1995,Forced air,Central,4 spaces,"$1,100/month",$424,Great solar potentialSun Number™: 92.7,"$4,729","$2,732/mo",$0/mo,$652/mo,$245/mo,"$1,100/mo",Not included
"520 Brickell Key Dr APT A1600, Miami, FL 33131",https://www.zillow.com/homedetails/520-Brickell-Key-Dr-APT-A1600-Miami-FL-33131/43872300_zpid/,"$550,000",Condo for sale,"1,278 sqft","$513,515",Condo,1982,Forced air,Central,1 space,$324/month,$430,Great solar potentialSun Number™: 86.3,"$3,086","$2,056/mo",$0/mo,$513/mo,$193/mo,$324/mo,Not included
"121 NE 34th St UNIT 802, Miami, FL 33137",https://www.zillow.com/homedetails/121-NE-34th-St-UNIT-802-Miami-FL-33137/247332285_zpid/,"$550,000",Condo for sale,"1,045 sqft",,Condo,2018,Forced air,Central,Attached Garage,$684/month,$526,Great solar potentialSun Number™: 93.4,"$3,446","$2,056/mo",$0/mo,$513/mo,$193/mo,$684/mo,Not included
"121 NE 34th St # L604, Miami, FL 33137",https://www.zillow.com/homedetails/121-NE-34th-St-L604-Miami-FL-33137/247332287_zpid/,"$515,000",Condo for sale,"1,095 sqft",,Condo,2018,Forced air,Central,Attached Garage,$684/month,$470,Great solar potentialSun Number™: 93.4,"$3,271","$1,926/mo",$0/mo,$481/mo,$180/mo,$684/mo,Not included
"1800 N Bayshore Dr APT 411, Miami, FL 33132",https://www.zillow.com/homedetails/1800-N-Bayshore-Dr-APT-411-Miami-FL-33132/82066284_zpid/,"$289,000",Condo for sale,"1,017 sqft","$275,152",Condo,2007,Forced air,Central,1 space,$507/month,$284,Great solar potentialSun Number™: 87.9,"$1,958","$1,081/mo",$0/mo,$270/mo,$101/mo,$507/mo,Not included
"1200 Brickell Bay Dr APT 3212, Miami, FL 33131",https://www.zillow.com/homedetails/1200-Brickell-Bay-Dr-APT-3212-Miami-FL-33131/66673451_zpid/,"$294,900",Condo for sale,818 sqft,"$280,788",Condo,2005,Forced air,Other,1 space,$572/month,$361,Great solar potentialSun Number™: 94.3,"$2,053","$1,103/mo",$0/mo,$275/mo,$103/mo,$572/mo,Not included
"1750 N Bayshore Dr APT 2708, Miami, FL 33132",https://www.zillow.com/homedetails/1750-N-Bayshore-Dr-APT-2708-Miami-FL-33132/82415329_zpid/,"$233,000",Condo for sale,503 sqft,"$226,928",Condo,2008,Forced air,Central,1 space,$309/month,$463,Great solar potentialSun Number™: 94.3,"$1,495",$887/mo,$0/mo,$217/mo,$82/mo,$309/mo,Not included
