Title,Title_link,list-card-price,list-card-type,Bedrooms,Bathrooms,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Sunscore,Monthly cost,Mortage insurance,Principal & interest,Property taxes,Home insurance,HOA fee,Utilities
"940 Harwell St NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/940-Harwell-St-NW-Atlanta-GA-30314/35834507_zpid/,"$118,000",House for sale,3 bds,2 ba,"1,408 sqft","$113,629",Single Family,1928,Other,None,2 spaces,"2,827 sqft",$84,Limited solar potentialSun Number™: 54.62,$632,$0/mo,$485/mo,$105/mo,$41/mo,$0/mo,Not included
"250 Pharr Rd NE APT 317, Atlanta, GA 30305",https://www.zillow.com/homedetails/250-Pharr-Rd-NE-APT-317-Atlanta-GA-30305/2082112872_zpid/,"$230,000",Condo for sale,1 bd,1 ba,-- sqft,"$220,212",Condo,2004,Forced air,Central,No Data,$296/month,No Data,,"$1,467",$0/mo,$885/mo,$205/mo,$81/mo,$296/mo,Not included
"6 Gertrude Pl NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/6-Gertrude-Pl-NW-Atlanta-GA-30318/35845436_zpid/,"$279,900",House for sale,4 bds,2 ba,"1,578 sqft","$273,629",Single Family,1945,Other,Central,Off street,"6,838 sqft",$177,Good solar potentialSun Number™: 64.22,"$1,375",$0/mo,"$1,028/mo",$250/mo,$98/mo,$0/mo,Not included
"1511 Moores Mill Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/1511-Moores-Mill-Rd-NW-Atlanta-GA-30327/35920126_zpid/,"$1,168,000",House for sale,5 bds,7 ba,"4,731 sqft","$1,111,851",Single Family,1988,Forced air,Central,1 space,2.4 acres,$247,Candidate for a community solar programSun Number™: 20.21,"$6,011",$0/mo,"$4,561/mo","$1,041/mo",$409/mo,$0/mo,Not included
"157 17th St NE, Atlanta, GA 30309",https://www.zillow.com/homedetails/157-17th-St-NE-Atlanta-GA-30309/35897870_zpid/,"$999,000",House for sale,3 bds,3 ba,"1,984 sqft","$967,977",Single Family,1909,Forced air,Other,Off street,0.32 acres,$504,Great solar potentialSun Number™: 91.43,"$5,142",$0/mo,"$3,901/mo",$891/mo,$350/mo,$0/mo,Not included
"814 Lullwater Rd NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/814-Lullwater-Rd-NE-Atlanta-GA-30307/14479520_zpid/,"$1,999,900",House for sale,5 bds,5 ba,"6,012 sqft","$1,911,209",Single Family,1927,Forced air,Central,Attached Garage,0.9 acres,$333,Good solar potentialSun Number™: 64.23,"$10,360",$0/mo,"$7,810/mo","$1,850/mo",$700/mo,$0/mo,Not included
"3811 Club Dr NE, Atlanta, GA 30319",https://www.zillow.com/homedetails/3811-Club-Dr-NE-Atlanta-GA-30319/35895024_zpid/,"$1,925,000",House for sale,5 bds,6 ba,"6,500 sqft","$1,812,574",Single Family,1936,Forced air,Central,Detached Garage,0.93 acres,$296,Good solar potentialSun Number™: 69.81,"$9,908",$0/mo,"$7,517/mo","$1,716/mo",$674/mo,$0/mo,Not included
"1041 State St NW APT 26, Atlanta, GA 30318",https://www.zillow.com/homedetails/1041-State-St-NW-APT-26-Atlanta-GA-30318/2082576304_zpid/,"$233,000",Condo for sale,2 bds,2 ba,886 sqft,"$228,688",Condo,1911,No Data,No Data,1 space,$247/month,$263,,"$1,433",$0/mo,$897/mo,$208/mo,$82/mo,$247/mo,Not included
"1286 Ralph David Abernathy Blvd SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1286-Ralph-David-Abernathy-Blvd-SW-Atlanta-GA-30310/35841961_zpid/,"$335,000",House for sale,3 bds,2 ba,"1,536 sqft","$326,153",Single Family,1920,Forced air,Central,1 space,"8,712 sqft",$218,"{""targetDiv"":""gpt-ad-572a621a-457d-46fc-9e05-26e037dfd3d6"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1286 Ralph David Abernathy Blvd SW"",""bd"":""3"",""fsbid"":""16066"",""city"":""Atlanta"",""proptp"":""sfh"",""pid"":""35841961"",""lot"":""2"",""zestibuck"":""300-349k"",""listtp"":""buy_agent"",""zguidh"":""6135048939995894392"",""sqftrange"":""1500-1999"",""price"":""335000"",""sqft"":""1536"",""posting_url"":"""",""mlong"":""-84.429879"",""state"":""GA"",""prange"":""300-349k"",""zip"":""30310"",""mlat"":""33.738563"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISny8c5srmlc510000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""hood"":""West_End"",""yrblt"":""1920-1939"",""zestimate"":""326153"",""premieragent"":""no""}}","$1,646",$0/mo,"$1,230/mo",$299/mo,$117/mo,$0/mo,Not included
"1046 W Ave Sw, Atlanta, GA 30315",https://www.zillow.com/homedetails/1046-W-Ave-Sw-Atlanta-GA-30315/35887966_zpid/,"$130,000",House for sale,2 bds,1 ba,734 sqft,,Single Family,1915,No Data,No Data,No Data,"2,700 sqft",$177,"{""targetDiv"":""gpt-ad-6474cddb-5d0f-4230-9d36-7f24f1bc241d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1046 W Ave Sw"",""bd"":""2"",""fsbid"":""13803"",""city"":""Atlanta"",""proptp"":""sfh"",""pid"":""35887966"",""lot"":""1"",""zestibuck"":""0-100k"",""listtp"":""buy_agent"",""zguidh"":""683543257800776009"",""sqftrange"":""500-999"",""price"":""130000"",""sqft"":""734"",""posting_url"":""http://www.soldbyjones.com"",""mlong"":""-84.395613"",""state"":""GA"",""prange"":""100-149k"",""zip"":""30315"",""mlat"":""33.726163"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf0l85b7fxfu60000000000.jpg"",""zusr"":""true"",""price_band"":""z0"",""hood"":""Pittsburgh"",""yrblt"":""1900-1919"",""zestimate"":""88232"",""premieragent"":""no""}}",$662,$0/mo,$500/mo,$116/mo,$46/mo,$0/mo,Not included
"390 17th St NW UNIT 3005, Atlanta, GA 30363",https://www.zillow.com/homedetails/390-17th-St-NW-UNIT-3005-Atlanta-GA-30363/88817068_zpid/,"$289,900",Condo for sale,2 bds,2 ba,"1,263 sqft","$284,960",Condo,2007,Forced air,Central,2 spaces,No Data,$230,,"$1,424",$0/mo,"$1,064/mo",$258/mo,$101/mo,$0/mo,Not included
"313 Delmont Dr NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/313-Delmont-Dr-NE-Atlanta-GA-30305/35932802_zpid/,"$1,275,000",House for sale,5 bds,5 ba,"3,804 sqft","$1,217,239",Single Family,2004,Forced air,Central,4 spaces,"10,193 sqft",$335,Great solar potentialSun Number™: 78.61,"$6,562",$0/mo,"$4,979/mo","$1,137/mo",$446/mo,$0/mo,Not included
"3733 Landau Ln SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/3733-Landau-Ln-SW-Atlanta-GA-30331/65464766_zpid/,"Est. $75,773",Foreclosed,4 bds,3 ba,"1,634 sqft","$75,773",Single Family,2000,Forced air,Central,2 spaces,0.26 acres,$61,Great solar potentialSun Number™: 83.41,$445,$0/mo,$311/mo,$68/mo,$27/mo,$39/mo,Not included
"751 Piedmont Ave NE APT 14, Atlanta, GA 30308",https://www.zillow.com/homedetails/751-Piedmont-Ave-NE-APT-14-Atlanta-GA-30308/35881037_zpid/,"$375,000",Townhouse for sale,3 bds,3 ba,"1,250 sqft","$367,497",Townhouse,1990,Forced air,Central,2 spaces,479 sqft,$300,,"$2,042",$0/mo,"$1,377/mo",$334/mo,$131/mo,$200/mo,Not included
"2881 Peachtree Rd NE APT 2405, Atlanta, GA 30305",https://www.zillow.com/homedetails/2881-Peachtree-Rd-NE-APT-2405-Atlanta-GA-30305/65468091_zpid/,"$1,397,000",Condo for sale,2 bds,4 ba,"3,141 sqft","$1,314,715",Condo,2001,Heat pump,Central,2 spaces,"$1,350/month",$445,,"$8,540",$0/mo,"$5,455/mo","$1,246/mo",$489/mo,"$1,350/mo",Not included
"1820 Shadydale Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/1820-Shadydale-Ave-SE-Atlanta-GA-30315/35883597_zpid/,"$85,000",For sale by owner,1 bd,1 ba,651 sqft,,Single Family,1940,Other,Other,No Data,"7,474 sqft",$131,Limited solar potentialSun Number™: 53.03,$455,$0/mo,$349/mo,$76/mo,$30/mo,$0/mo,Not included
