Address,Title_link,Sale price,list-card-type,Area,Bedrooms,Bathrooms,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal & interest,Mortage insurance,Property taxes,Home insurance,HOA Fees,Utilities
"80A W Cedar St APT 1, Boston, MA 02114",https://www.zillow.com/homedetails/80A-W-Cedar-St-APT-1-Boston-MA-02114/2101783928_zpid/,"$850,000",Condo for sale,"1,050 sqft",3 bds,3 ba,"$844,988",Condo,1890,Baseboard,Other,No Data,$467/month,$810,,"$4,501","$3,141/mo",$0/mo,$595/mo,$298/mo,$467/mo,Not included
"600 Massachusetts Ave # 7, Boston, MA 02118",https://www.zillow.com/homedetails/600-Massachusetts-Ave-7-Boston-MA-02118/59185465_zpid/,"$699,000",Condo for sale,"1,050 sqft",2 bds,1 ba,"$684,714",Condo,1865,Baseboard,No Data,No Data,$136/month,$666,Great solar potentialSun Number™: 93.58,"$3,453","$2,583/mo",$0/mo,$489/mo,$245/mo,$136/mo,Not included
"43 Commonwealth Ave APT 1, Boston, MA 02116",https://www.zillow.com/homedetails/43-Commonwealth-Ave-APT-1-Boston-MA-02116/59172101_zpid/,"$1,889,000",Condo for sale,"1,988 sqft",2 bds,2 ba,"$1,784,055",Condo,1890,Forced air,Central,No Data,$629/month,$950,Great solar potentialSun Number™: 91.98,"$9,980","$7,367/mo",$0/mo,"$1,322/mo",$661/mo,$629/mo,Not included
"124 Beacon St APT 6F, Boston, MA 02116",https://www.zillow.com/homedetails/124-Beacon-St-APT-6F-Boston-MA-02116/71546253_zpid/,"$899,000",Condo for sale,922 sqft,1 bd,2 ba,"$885,618",Condo,1899,Heat pump,Central,No Data,$467/month,$975,Great solar potentialSun Number™: 90.38,"$4,917","$3,506/mo",$0/mo,$629/mo,$315/mo,$467/mo,Not included
"43 S Russell St, Boston, MA 02114",https://www.zillow.com/homedetails/43-S-Russell-St-Boston-MA-02114/59169447_zpid/,"$3,250,000",House for sale,"3,230 sqft",4 bds,3 ba,"$3,063,509",Single Family,1797,Other,No Data,No Data,"1,306 sqft","$1,006",Great solar potentialSun Number™: 86.61,"$16,088","$12,675/mo",$0/mo,"$2,275/mo","$1,138/mo",$0/mo,Not included
"772 E 6th St # 1, Boston, MA 02127",https://www.zillow.com/homedetails/772-E-6th-St-1-Boston-MA-02127/2098672331_zpid/,"$599,000",Condo for sale,883 sqft,1 bd,2 ba,"$582,796",Condo,1875,Forced air,Central,On street,$150/month,$678,,"$2,992","$2,214/mo",$0/mo,$419/mo,$210/mo,$150/mo,Not included
"588 Adams St # 590, Dorchester, MA 02122",https://www.zillow.com/homedetails/588-Adams-St-590-Dorchester-MA-02122/2085519438_zpid/,"$379,900",Coming soon,"1,300 sqft",2 bds,2 ba,"$531,987",Condo,1898,No Data,No Data,No Data,No Data,$292,,"$1,805","$1,406/mo",$0/mo,$266/mo,$133/mo,$0/mo,Not included
"17 Eagle St, Boston, MA 02132",https://www.zillow.com/homedetails/17-Eagle-St-Boston-MA-02132/59158919_zpid/,"$799,900",House for sale,"2,248 sqft",4 bds,2 ba,"$782,787",Single Family,1984,Baseboard,No Data,2 spaces,"6,098 sqft",$356,Candidate for a community solar programSun Number™: 22.94,"$3,796","$2,956/mo",$0/mo,$560/mo,$280/mo,$0/mo,Not included
"9 Battery St APT 8, Boston, MA 02109",https://www.zillow.com/homedetails/9-Battery-St-APT-8-Boston-MA-02109/2084361612_zpid/,"$709,000",Condo for sale,854 sqft,2 bds,1 ba,"$696,892",Condo,1880,Baseboard,Central,On street,$430/month,$830,Great solar potentialSun Number™: 94.38,"$3,794","$2,620/mo",$0/mo,$496/mo,$248/mo,$430/mo,Not included
"111 Perkins St APT 096, Boston, MA 02130",https://www.zillow.com/homedetails/111-Perkins-St-APT-096-Boston-MA-02130/2082184364_zpid/,"$489,000",Co-op for sale,"1,130 sqft",2 bds,1 ba,"$505,853",Cooperative,1963,Other,Other,1 space,$433,,,"$2,425","$1,809/mo",$0/mo,$342/mo,$171/mo,$102/mo,Not included
"31 E Springfield St APT 4, Boston, MA 02118",https://www.zillow.com/homedetails/31-E-Springfield-St-APT-4-Boston-MA-02118/59183805_zpid/,"$649,000",Condo for sale,665 sqft,2 bds,1 ba,"$637,168",Condo,1899,Forced air,Central,1 space,$389/month,$976,Great solar potentialSun Number™: 86.38,"$3,469","$2,398/mo",$0/mo,$454/mo,$227/mo,$389/mo,Not included
"57 Gates St # 3, South Boston, MA 02127",https://www.zillow.com/homedetails/57-Gates-St-3-South-Boston-MA-02127/81858942_zpid/,"$649,000",Condo for sale,"1,013 sqft",2 bds,1 ba,"$633,303",Condo,1880,Baseboard,Central,On street,$205/month,$641,Great solar potentialSun Number™: 94.86,"$3,285","$2,398/mo",$0/mo,$454/mo,$227/mo,$205/mo,Not included
"119 Marlborough St APT 6, Boston, MA 02116",https://www.zillow.com/homedetails/119-Marlborough-St-APT-6-Boston-MA-02116/59171191_zpid/,"$699,000",Condo for sale,580 sqft,1 bd,1 ba,"$688,595",Condo,1880,Baseboard,No Data,On street,$437/month,"$1,205",Great solar potentialSun Number™: 89.58,"$3,754","$2,583/mo",$0/mo,$489/mo,$245/mo,$437/mo,Not included
"38 Woodward St # 3, South Boston, MA 02127",https://www.zillow.com/homedetails/38-Woodward-St-3-South-Boston-MA-02127/81856696_zpid/,"$675,000",Condo for sale,864 sqft,3 bds,1 ba,"$656,740",Condo,1890,Forced air,Central,On street,$123/month,$781,Great solar potentialSun Number™: 94.86,"$3,326","$2,494/mo",$0/mo,$473/mo,$236/mo,$123/mo,Not included
"1 Norcross Pl # 3, Boston, MA 02127",https://www.zillow.com/homedetails/1-Norcross-Pl-3-Boston-MA-02127/2082174299_zpid/,"$899,900",Apartment for sale,"1,881 sqft",4 bds,2 ba,"$881,487",Multi Family,1888,No Data,No Data,No Data,$478,,,"$4,455","$3,510/mo",$0/mo,$630/mo,$315/mo,$0/mo,Not included
"61 Phillips St APT 2, Boston, MA 02114",https://www.zillow.com/homedetails/61-Phillips-St-APT-2-Boston-MA-02114/71546109_zpid/,"Est. $394,679",Pre-foreclosure / Auction,453 sqft,2 bds,1 ba,"$533,351",Condo,1899,Other,No Data,No Data,No Data,,Great solar potentialSun Number™: 91.41,"$1,875","$1,460/mo",$0/mo,$276/mo,$138/mo,$0/mo,Not included
"287-295 Hanover St # 5-2, Boston, MA 02113",https://www.zillow.com/homedetails/287-295-Hanover-St-5-2-Boston-MA-02113/59181339_zpid/,"$1,995,000",Condo for sale,"2,139 sqft",3 bds,3 ba,"$1,941,113",Condo,1872,Other,Central,On street,$938/month,$933,Great solar potentialSun Number™: 94.38,"$10,813","$7,781/mo",$0/mo,"$1,397/mo",$698/mo,$938/mo,Not included
"23 Fleet St APT 11, Boston, MA 02113",https://www.zillow.com/homedetails/23-Fleet-St-APT-11-Boston-MA-02113/59178229_zpid/,"$476,900",Condo for sale,491 sqft,1 bd,1 ba,"$473,935",Condo,1907,Forced air,Wall,No Data,$231/month,$971,Great solar potentialSun Number™: 94.38,"$2,496","$1,765/mo",$0/mo,$334/mo,$167/mo,$231/mo,Not included
"36 Carolina Ave # 1, Boston, MA 02130",https://www.zillow.com/homedetails/36-Carolina-Ave-1-Boston-MA-02130/118325107_zpid/,"$589,000",Condo for sale,"1,088 sqft",2 bds,1 ba,"$621,550",Condo,1908,Forced air,None,1 space,$400/month,$541,Candidate for a community solar programSun Number™: 22.38,"$3,195","$2,177/mo",$0/mo,$412/mo,$206/mo,$400/mo,Not included
"85 Blue Hill Ave, Boston, MA 02119",https://www.zillow.com/homedetails/85-Blue-Hill-Ave-Boston-MA-02119/59185829_zpid/,"$689,000",House for sale,"2,378 sqft",4 bds,4 ba,"$682,994",Single Family,1890,"Baseboard, Forced air",None,Off street,"3,049 sqft",$290,Great solar potentialSun Number™: 87.22,"$3,270","$2,546/mo",$0/mo,$482/mo,$241/mo,$0/mo,Not included
"12 Gloucester St APT 4, Boston, MA 02115",https://www.zillow.com/homedetails/12-Gloucester-St-APT-4-Boston-MA-02115/59169866_zpid/,"$1,875,000",Condo for sale,"1,732 sqft",2 bds,3 ba,"$1,785,511",Condo,1920,Forced air,Central,On street,$528/month,"$1,083",Great solar potentialSun Number™: 93.58,"$9,809","$7,313/mo",$0/mo,"$1,313/mo",$656/mo,$528/mo,Not included
"108 Princeton St, East Boston, MA 02128",https://www.zillow.com/homedetails/108-Princeton-St-East-Boston-MA-02128/59123981_zpid/,$--,Pre-foreclosure / Auction,"3,000 sqft",6 bds,4 ba,,Multi Family,1880,Other,No Data,No Data,,,Great solar potentialSun Number™: 85,$0,$0/mo,$0/mo,$0/mo,$0/mo,$0/mo,Not included
"11 Samoset St, Boston, MA 02124",https://www.zillow.com/homedetails/11-Samoset-St-Boston-MA-02124/59107883_zpid/,"$749,000",House for sale,"2,817 sqft",4 bds,3 ba,"$743,104",Single Family,1896,Baseboard,No Data,No Data,"4,356 sqft",$266,Candidate for a community solar programSun Number™: 21.8,"$3,554","$2,768/mo",$0/mo,$524/mo,$262/mo,$0/mo,Not included
"107 Bennington St, East Boston, MA 02128",https://www.zillow.com/homedetails/107-Bennington-St-East-Boston-MA-02128/59123471_zpid/,"$475,000",Townhouse for sale,"1,056 sqft",2 bds,2 ba,"$465,233",Townhouse,1900,Radiant,None,No Data,956 sqft,$450,Great solar potentialSun Number™: 93.8,"$2,256","$1,758/mo",$0/mo,$333/mo,$166/mo,$0/mo,Not included
"441 Frankfort St, Boston, MA 02128",https://www.zillow.com/homedetails/441-Frankfort-St-Boston-MA-02128/59122554_zpid/,"$525,000",House for sale,"1,311 sqft",3 bds,1 ba,"$513,157",Single Family,1900,Baseboard,None,1 space,"1,306 sqft",$400,Great solar potentialSun Number™: 93.8,"$2,494","$1,943/mo",$0/mo,$368/mo,$184/mo,$0/mo,Not included
"45 Burnett St APT 309A, Boston, MA",https://www.zillow.com/homedetails/45-Burnett-St-APT-309A-Boston-MA-02130/2082078601_zpid/,"$819,000",New construction,"1,245 sqft",2 bds,2 ba,"$853,807",Condo,2019,Forced air,Central,No Data,$607/month,$658,,"$4,493","$3,027/mo",$0/mo,$573/mo,$287/mo,$607/mo,Not included
"408 Seaver St # 2, Boston, MA 02121",https://www.zillow.com/homedetails/408-Seaver-St-2-Boston-MA-02121/81896957_zpid/,"$380,000",Condo for sale,"1,900 sqft",5 bds,2 ba,"$373,146",Condo,1905,Forced air,Central,Off street,$290/month,$200,Great solar potentialSun Number™: 91.18,"$2,095","$1,406/mo",$0/mo,$266/mo,$133/mo,$290/mo,Not included
"63 Edgemere Rd, Boston, MA",https://www.zillow.com/homedetails/63-Edgemere-Rd-Boston-MA-02132/190071482_zpid/,"$1,525,000",New construction,"3,200 sqft",4 bds,3 ba,"$1,477,480",Single Family,2019,Forced air,Central,Attached Garage,"7,840 sqft",$477,Candidate for a community solar programSun Number™: 22.94,"$7,549","$5,948/mo",$0/mo,"$1,068/mo",$534/mo,$0/mo,Not included
"147 W Canton St, Boston, MA 02118",https://www.zillow.com/homedetails/147-W-Canton-St-Boston-MA-02118/59172291_zpid/,"$5,250,000",House for sale,"3,632 sqft",3 bds,4 ba,"$5,008,778",Single Family,1890,"Baseboard, Forced air",Central,No Data,"1,306 sqft","$1,445",Candidate for a community solar programSun Number™: 22.38,"$25,988","$20,475/mo",$0/mo,"$3,675/mo","$1,838/mo",$0/mo,Not included
"61 Slocum Rd, Boston, MA 02130",https://www.zillow.com/homedetails/61-Slocum-Rd-Boston-MA-02130/59135095_zpid/,"$825,000",House for sale,"1,666 sqft",4 bds,3 ba,"$837,666",Single Family,1962,Baseboard,No Data,2 spaces,"6,969 sqft",$495,Great solar potentialSun Number™: 94.38,"$3,915","$3,049/mo",$0/mo,$578/mo,$289/mo,$0/mo,Not included
"59 Mount Vernon St, Boston, MA 02108",https://www.zillow.com/homedetails/59-Mount-Vernon-St-Boston-MA-02108/59174494_zpid/,"$7,975,000",House for sale,"6,860 sqft",6 bds,5 ba,"$7,510,236",Single Family,1837,Forced air,Central,No Data,"3,484 sqft","$1,163",,"$39,476","$31,103/mo",$0/mo,"$5,583/mo","$2,791/mo",$0/mo,Not included
"1162 Morton St, Boston, MA 02126",https://www.zillow.com/homedetails/1162-Morton-St-Boston-MA-02126/59138284_zpid/,"$415,000",House for sale,"1,572 sqft",4 bds,2 ba,,Single Family,1925,Baseboard,No Data,1 space,"4,356 sqft",$264,Great solar potentialSun Number™: 93.42,"$1,971","$1,536/mo",$0/mo,$291/mo,$145/mo,$0/mo,Not included
"32 Spring Park Ave # 3, Boston, MA 02130",https://www.zillow.com/homedetails/32-Spring-Park-Ave-3-Boston-MA-02130/63041647_zpid/,"$879,000",Condo for sale,"1,926 sqft",3 bds,2 ba,"$899,043",Condo,1902,Baseboard,None,No Data,$270/month,$456,Great solar potentialSun Number™: 91.98,"$4,621","$3,428/mo",$0/mo,$615/mo,$308/mo,$270/mo,Not included
"662 Massachusetts Ave APT 3, Boston, MA 02118",https://www.zillow.com/homedetails/662-Massachusetts-Ave-APT-3-Boston-MA-02118/59183763_zpid/,"$649,000",Condo for sale,775 sqft,2 bds,1 ba,"$636,869",Condo,1910,Baseboard,Central,No Data,$220/month,$837,Great solar potentialSun Number™: 94.38,"$3,300","$2,398/mo",$0/mo,$454/mo,$227/mo,$220/mo,Not included
"668 Massachusetts Ave # G, Boston, MA 02118",https://www.zillow.com/homedetails/668-Massachusetts-Ave-G-Boston-MA-02118/123845363_zpid/,"$849,000",Condo for sale,"1,034 sqft",2 bds,2 ba,"$836,362",Condo,1900,Forced air,Central,1 space,$249/month,$821,Great solar potentialSun Number™: 94.38,"$4,278","$3,137/mo",$0/mo,$594/mo,$297/mo,$249/mo,Not included
"1742 Commonwealth Ave APT 6, Boston, MA 02135",https://www.zillow.com/homedetails/1742-Commonwealth-Ave-APT-6-Boston-MA-02135/59093329_zpid/,"$475,000",Condo for sale,760 sqft,2 bds,1 ba,"$467,849",Condo,1940,Other,Other,1 space,$426/month,$625,Great solar potentialSun Number™: 83.45,"$2,682","$1,758/mo",$0/mo,$333/mo,$166/mo,$426/mo,Not included
"9 S Russell St APT 5, Boston, MA 02114",https://www.zillow.com/homedetails/9-S-Russell-St-APT-5-Boston-MA-02114/59163167_zpid/,"$769,000",Condo for sale,853 sqft,2 bds,1 ba,"$749,687",Condo,1920,Other,No Data,No Data,$393/month,$902,Great solar potentialSun Number™: 94.61,"$4,042","$2,842/mo",$0/mo,$538/mo,$269/mo,$393/mo,Not included
"210 South St # 8/2, Boston, MA 02111",https://www.zillow.com/homedetails/210-South-St-8-2-Boston-MA-02111/2085526672_zpid/,"$970,000",Condo for sale,"1,343 sqft",2 bds,2 ba,"$947,807",Condo,1920,Forced air,Central,1 space,$743/month,$722,,"$5,545","$3,783/mo",$0/mo,$679/mo,$340/mo,$743/mo,Not included
"156 Porter St APT 236, East Boston, MA 02128",https://www.zillow.com/homedetails/156-Porter-St-APT-236-East-Boston-MA-02128/71489599_zpid/,"$459,000",Condo for sale,860 sqft,1 bd,1 ba,,Condo,1910,"Baseboard, Forced air",Central,1 space,$261/month,$534,Great solar potentialSun Number™: 91.4,"$2,441","$1,698/mo",$0/mo,$321/mo,$161/mo,$261/mo,Not included
"159 W Brookline St # 1, Boston, MA 02118",https://www.zillow.com/homedetails/159-W-Brookline-St-1-Boston-MA-02118/59182656_zpid/,"$649,000",For sale by owner,506 sqft,1 bd,1 ba,"$1,081,349",Condo,1900,Forced air,No Data,1 space,"$24,849/month","$1,283",Great solar potentialSun Number™: 85.58,"$27,929","$2,398/mo",$0/mo,$454/mo,$227/mo,"$24,849/mo",Not included
"86 High St # 1, Charlestown, MA 02129",https://www.zillow.com/homedetails/86-High-St-1-Charlestown-MA-02129/2082577680_zpid/,"$1,039,000",Condo for sale,"1,431 sqft",3 bds,2 ba,"$1,033,989",Condo,1890,Gas,Central,No Data,$253/month,$726,,"$5,396","$4,052/mo",$0/mo,$727/mo,$364/mo,$253/mo,Not included
"42 8th St APT 2102, Boston, MA 02129",https://www.zillow.com/homedetails/42-8th-St-APT-2102-Boston-MA-02129/67095970_zpid/,"$810,000",Condo for sale,"1,108 sqft",2 bds,2 ba,"$795,449",Condo,1899,Forced air,Central,1 space,$767/month,$731,Great solar potentialSun Number™: 90.8,"$4,611","$2,993/mo",$0/mo,$567/mo,$284/mo,$767/mo,Not included
"148 Bunker Hill St, Boston, MA 02129",https://www.zillow.com/homedetails/148-Bunker-Hill-St-Boston-MA-02129/59101108_zpid/,"$995,000",House for sale,"1,580 sqft",4 bds,2 ba,"$980,925",Single Family,1890,Forced air,Central,No Data,"1,306 sqft",$630,Great solar potentialSun Number™: 93.2,"$4,925","$3,881/mo",$0/mo,$697/mo,$348/mo,$0/mo,Not included
"145 Whitfield St APT 2, Boston, MA 02124",https://www.zillow.com/homedetails/145-Whitfield-St-APT-2-Boston-MA-02124/2082244440_zpid/,"$425,000",Condo for sale,791 sqft,2 bds,2 ba,"$417,788",Condo,1899,Forced air,Central,No Data,$216/month,$537,,"$2,235","$1,573/mo",$0/mo,$298/mo,$149/mo,$216/mo,Not included
"40 Parker Hill Ave # 44, Boston, MA 02120",https://www.zillow.com/homedetails/40-Parker-Hill-Ave-44-Boston-MA-02120/2082456337_zpid/,"$20,000,000",Apartment for sale,"21,210 sqft",78 bds,44 ba,,Multi Family,1910,No Data,No Data,No Data,$943,,,"$99,000","$78,000/mo",$0/mo,"$14,000/mo","$7,000/mo",$0/mo,Not included
"47 Marine Rd # 1, Boston, MA 02127",https://www.zillow.com/homedetails/47-Marine-Rd-1-Boston-MA-02127/2084573083_zpid/,"$1,249,000",Condo for sale,"1,750 sqft",3 bds,3 ba,"$1,219,286",Condo,1905,Forced air,Central,2 spaces,$196/month,$714,,"$6,379","$4,871/mo",$0/mo,$874/mo,$437/mo,$196/mo,Not included
"41 Cushing Ave # 2, Boston, MA 02125",https://www.zillow.com/homedetails/41-Cushing-Ave-2-Boston-MA-02125/71496776_zpid/,"$509,000",Condo for sale,"1,130 sqft",2 bds,2 ba,"$497,518",Condo,1899,Forced air,Central,1 space,$272/month,$450,Candidate for a community solar programSun Number™: 22.38,"$2,690","$1,884/mo",$0/mo,$356/mo,$178/mo,$272/mo,Not included
"3 Hamlet St, Boston, MA 02125",https://www.zillow.com/homedetails/3-Hamlet-St-Boston-MA-02125/59113800_zpid/,"$799,000",Apartment for sale,"3,387 sqft",6 bds,3 ba,"$777,385",Multi Family,1905,Other,No Data,No Data,$236,,Candidate for a community solar programSun Number™: 22.38,"$3,792","$2,953/mo",$0/mo,$559/mo,$280/mo,$0/mo,Not included
"13 Woodrow Ave, Boston, MA 02124",https://www.zillow.com/homedetails/13-Woodrow-Ave-Boston-MA-02124/81854240_zpid/,"$287,910",Auction,"2,422 sqft",3 bds,3 ba,"$388,975",Condo,2005,Forced air,No Data,1 space,No Data,,Great solar potentialSun Number™: 93.8,"$1,368","$1,065/mo",$0/mo,$202/mo,$101/mo,$0/mo,Not included
"21 Sagamore St # 23, Boston, MA 02125",https://www.zillow.com/homedetails/21-Sagamore-St-23-Boston-MA-02125/2083420812_zpid/,"$1,049,000",House for sale,"2,200 sqft",5 bds,2 ba,"$1,016,972",Single Family,1905,Forced air,Central,No Data,"6,098 sqft",$477,,"$5,193","$4,091/mo",$0/mo,$734/mo,$367/mo,$0/mo,Not included
"115 Cottage St # 3, Boston, MA 02128",https://www.zillow.com/homedetails/115-Cottage-St-3-Boston-MA-02128/2082753553_zpid/,"$599,000",Condo for sale,780 sqft,2 bds,2 ba,"$590,874",Condo,1930,Forced air,Central,No Data,$185/month,$768,,"$3,027","$2,214/mo",$0/mo,$419/mo,$210/mo,$185/mo,Not included
"480 Beacon St # 1, Boston, MA 02115",https://www.zillow.com/homedetails/480-Beacon-St-1-Boston-MA-02115/63042602_zpid/,"$4,350,000",Condo for sale,"3,480 sqft",4 bds,4 ba,,Condo,1900,Forced air,Central,2 spaces,$970/month,"$1,250",Great solar potentialSun Number™: 89.58,"$22,503","$16,965/mo",$0/mo,"$3,045/mo","$1,523/mo",$970/mo,Not included
"45 Lewis St # 512, Boston, MA",https://www.zillow.com/homedetails/45-Lewis-St-512-Boston-MA-02128/2082074661_zpid/,"$1,196,000",New construction,"1,040 sqft",2 bds,2 ba,"$1,163,646",Condo,No Data,Forced air,Central,No Data,$949/month,"$1,150",,"$6,869","$4,664/mo",$0/mo,$837/mo,$419/mo,$949/mo,Not included
"238 Maple St, Boston, MA 02132",https://www.zillow.com/homedetails/238-Maple-St-Boston-MA-02132/59155578_zpid/,"$789,900",Apartment for sale,"2,450 sqft",5 bds,2 ba,"$775,545",Multi Family,1935,"Baseboard, Forced air, Other, Radiant",Central,3 spaces,$322,,Great solar potentialSun Number™: 73.34,"$3,748","$2,919/mo",$0/mo,$553/mo,$276/mo,$0/mo,Not included
"776 Boylston St UNIT E9A, Boston, MA 02199",https://www.zillow.com/homedetails/776-Boylston-St-UNIT-E9A-Boston-MA-02199/90141565_zpid/,"$12,500,000",Condo for sale,"3,519 sqft",3 bds,4 ba,"$11,719,728",Condo,2008,Other,Central,2 spaces,"$6,904/month","$3,552",Great solar potentialSun Number™: 94.38,"$68,779","$48,750/mo",$0/mo,"$8,750/mo","$4,375/mo","$6,904/mo",Not included
"60 Bryon Rd APT 1, Chestnut Hill, MA 02467",https://www.zillow.com/homedetails/60-Bryon-Rd-APT-1-Chestnut-Hill-MA-02467/2107598505_zpid/,"$336,000",Condo for sale,786 sqft,2 bds,1 ba,"$336,112",Condo,1950,Baseboard,None,No Data,$298/month,$427,,"$1,894","$1,243/mo",$0/mo,$235/mo,$118/mo,$298/mo,Not included
"1588 Centre St, Boston, MA 02131",https://www.zillow.com/homedetails/1588-Centre-St-Boston-MA-02131/59142951_zpid/,"Est. $511,026",Pre-foreclosure,"2,026 sqft",5 bds,3 ba,"$690,576",Single Family,1890,"Baseboard, Radiant",No Data,3 spaces,"4,356 sqft",,Great solar potentialSun Number™: 93.78,"$2,425","$1,888/mo",$0/mo,$358/mo,$179/mo,$0/mo,Not included
"666 E 8th St, South Boston, MA 02127",https://www.zillow.com/homedetails/666-E-8th-St-South-Boston-MA-02127/2111479628_zpid/,"$1,679,000",Apartment for sale,"3,250 sqft",7 bds,3 ba,"$1,631,893",Multi Family,1905,No Data,No Data,No Data,$517,,Great solar potentialSun Number™: 94.86,"$8,311","$6,548/mo",$0/mo,"$1,175/mo",$588/mo,$0/mo,Not included
"48 Glendower Rd # 2, Boston, MA 02131",https://www.zillow.com/homedetails/48-Glendower-Rd-2-Boston-MA-02131/2082151872_zpid/,"$489,500",Condo for sale,"1,530 sqft",3 bds,2 ba,"$501,866",Condo,1905,Gas,None,No Data,$235/month,$320,,"$2,560","$1,811/mo",$0/mo,$343/mo,$171/mo,$235/mo,Not included
"41 Woodville St # 2, Boston, MA 02119",https://www.zillow.com/homedetails/41-Woodville-St-2-Boston-MA-02119/2082199753_zpid/,"$450,000",Condo for sale,940 sqft,2 bds,1 ba,"$440,823",Condo,2019,Forced air,Central,No Data,$200/month,$479,,"$2,338","$1,665/mo",$0/mo,$315/mo,$158/mo,$200/mo,Not included
"315 Forest Hills St # 1, Boston, MA 02130",https://www.zillow.com/homedetails/315-Forest-Hills-St-1-Boston-MA-02130/59210573_zpid/,"$430,000",Condo for sale,"1,030 sqft",2 bds,1 ba,"$448,454",Condo,1928,Other,None,No Data,$126/month,$417,Great solar potentialSun Number™: 91.98,"$2,169","$1,591/mo",$0/mo,$301/mo,$151/mo,$126/mo,Not included
