Address,Title_link,Sale price,list-card-type,Area,Bedrooms,Bathrooms,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal & interest,Mortage insurance,Property taxes,Home insurance,HOA Fees,Utilities
"55 Commercial Wharf APT 6, Boston, MA 02110",https://www.zillow.com/homedetails/55-Commercial-Wharf-APT-6-Boston-MA-02110/59174575_zpid/,"$1,649,000",Condo for sale,"1,304 sqft",1 bd,2 ba,"$1,599,999",Condo,1832,Other,Central,No Data,$874/month,"$1,265",Great solar potentialSun Number™: 94.38,"$9,038","$6,433/mo",$0/mo,"$1,154/mo",$577/mo,$874/mo,Not included
"15 Rosemont St, Boston, MA 02136",https://www.zillow.com/homedetails/15-Rosemont-St-Boston-MA-02136/59140500_zpid/,"$459,900",House for sale,"1,210 sqft",3 bds,2 ba,"$467,915",Single Family,1955,Baseboard,No Data,1 space,"4,356 sqft",$380,Great solar potentialSun Number™: 86.38,"$2,188","$1,705/mo",$0/mo,$322/mo,$161/mo,$0/mo,Not included
"37 Forest Hills St # 3, Boston, MA 02130",https://www.zillow.com/homedetails/37-Forest-Hills-St-3-Boston-MA-02130/190073408_zpid/,"$575,000",Condo for sale,"1,048 sqft",2 bds,1 ba,"$591,259",Condo,1900,Forced air,Central,1 space,$247/month,$549,Great solar potentialSun Number™: 94.38,"$2,974","$2,123/mo",$0/mo,$403/mo,$201/mo,$247/mo,Not included
"492 Beacon St # 13, Boston, MA 02115",https://www.zillow.com/homedetails/492-Beacon-St-13-Boston-MA-02115/59169351_zpid/,"$999,000",Condo for sale,870 sqft,1 bd,1 ba,"$983,416",Condo,1890,"Forced air, Heat pump",Central,1 space,$822/month,"$1,148",Great solar potentialSun Number™: 87.98,"$5,768","$3,897/mo",$0/mo,$699/mo,$350/mo,$822/mo,Not included
"118 Princeton St # 3, East Boston, MA 02128",https://www.zillow.com/homedetails/118-Princeton-St-3-East-Boston-MA-02128/67398899_zpid/,"$449,900",Condo for sale,740 sqft,2 bds,1 ba,"$440,944",Condo,1875,Baseboard,Central,No Data,$168/month,$608,Great solar potentialSun Number™: 93,"$2,308","$1,668/mo",$0/mo,$315/mo,$157/mo,$168/mo,Not included
"112 Charles St, Boston, MA 02114",https://www.zillow.com/homedetails/112-Charles-St-Boston-MA-02114/59173217_zpid/,"$3,250,000",Apartment for sale,"3,040 sqft",4 bds,3 ba,"$3,133,529",Multi Family,1868,Other,No Data,No Data,"$1,069",,Great solar potentialSun Number™: 93.01,"$16,091","$12,678/mo",$0/mo,"$2,275/mo","$1,138/mo",$0/mo,Not included
"79 Gainsborough St UNIT 406, Boston, MA 02115",https://www.zillow.com/homedetails/79-Gainsborough-St-UNIT-406-Boston-MA-02115/59177515_zpid/,"$785,000",Condo for sale,789 sqft,2 bds,1 ba,"$763,679",Condo,1910,Heat pump,Central,On street,$469/month,$995,Great solar potentialSun Number™: 90.38,"$4,192","$2,899/mo",$0/mo,$550/mo,$275/mo,$469/mo,Not included
"14 Van Winkle St, Boston, MA 02124",https://www.zillow.com/homedetails/14-Van-Winkle-St-Boston-MA-02124/59115360_zpid/,"$719,000",Apartment for sale,"2,700 sqft",4 bds,2 ba,"$707,529",Multi Family,1885,Other,No Data,No Data,$266,,Great solar potentialSun Number™: 73.8,"$3,410","$2,655/mo",$0/mo,$503/mo,$252/mo,$0/mo,Not included
"45 Burnett St APT 105, Boston, MA",https://www.zillow.com/homedetails/45-Burnett-St-APT-105-Boston-MA-02130/2083523685_zpid/,"$499,000",New construction,740 sqft,1 bd,1 ba,"$499,003",Condo,2019,Forced air,Central,No Data,$394/month,$674,,"$2,768","$1,850/mo",$0/mo,$349/mo,$175/mo,$394/mo,Not included
"55 E Springfield St, Boston, MA 02118",https://www.zillow.com/homedetails/55-E-Springfield-St-Boston-MA-02118/2111479678_zpid/,"$699,000",Condo for sale,765 sqft,2 bds,1 ba,"$685,147",Condo,2019,"Forced air, Wall","Central, Wall","Off street, On street","$8,333/month",$914,Great solar potentialSun Number™: 84.78,"$11,648","$2,581/mo",$0/mo,$489/mo,$245/mo,"$8,333/mo",Not included
"32-34 Hancock # 1E, Boston, MA 02114",https://www.zillow.com/homedetails/32-34-Hancock-1E-Boston-MA-02114/2082642669_zpid/,"$635,000",Condo for sale,550 sqft,1 bd,1 ba,"$635,004",Condo,1970,Gas,No Data,No Data,$234/month,"$1,155",,"$3,246","$2,345/mo",$0/mo,$445/mo,$222/mo,$234/mo,Not included
"24 Mount Ida Rd APT 2, Boston, MA 02122",https://www.zillow.com/homedetails/24-Mount-Ida-Rd-APT-2-Boston-MA-02122/2084226123_zpid/,"$499,000",Condo for sale,"1,083 sqft",2 bds,2 ba,"$519,965",Condo,1905,"Electric, Gas",Central,No Data,$200/month,$461,,"$2,574","$1,850/mo",$0/mo,$349/mo,$175/mo,$200/mo,Not included
"65 E India Row Residence # 10H, Boston Waterfront, MA 02110",https://www.zillow.com/homedetails/65-E-India-Row-Residence-10H-Boston-Waterfront-MA-02110/2082802972_zpid/,"$799,000",Condo for sale,881 sqft,1 bd,1 ba,"$796,549",Condo,1969,Forced air,Central,Detached Garage,No Data,$907,Great solar potentialSun Number™: 94.38,"$3,789","$2,950/mo",$0/mo,$559/mo,$280/mo,$0/mo,Not included
"3 Joy St # II, Boston, MA",https://www.zillow.com/homedetails/3-Joy-St-II-Boston-MA-02108/2082780828_zpid/,"$2,975,000",New construction,"1,483 sqft",2 bds,2 ba,"$2,887,414",Condo,1900,Heat pump,Central,No Data,"$9,999/month","$2,006",,"$24,728","$11,605/mo",$0/mo,"$2,083/mo","$1,041/mo","$9,999/mo",Not included
"401 Beacon St # B, Boston, MA 02115",https://www.zillow.com/homedetails/401-Beacon-St-B-Boston-MA-02115/2083787643_zpid/,"$1,299,000",Condo for sale,878 sqft,2 bds,1 ba,"$1,252,440",Condo,2019,No Data,Central,No Data,$727/month,"$1,479",,"$7,158","$5,067/mo",$0/mo,$909/mo,$455/mo,$727/mo,Not included
