Title,Sale price,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Sunscore,Monthly cost,Principal & interest,Property taxes,Home insurance,HOA fee
"12 Gloucester St APT 4, Boston, MA 02115","$1,875,000 ",2 bds,3 ba,"1,732 sqft","$1,785,511 ",Condo,1920,Forced air,Central,On street,$528/month,Great solar potentialSun Number™: 93.58,"$9,809 ","$7,313/mo","$1,313/mo",$656/mo,$528/mo
"108 Princeton St, East Boston, MA 02128",$--,6 bds,4 ba,"3,000 sqft",,Multi Family,1880,Other,No Data,No Data,,Great solar potentialSun Number™: 85,$0 ,$0/mo,$0/mo,$0/mo,$0/mo
"45 Burnett St APT 309A, Boston, MA","$819,000 ",2 bds,2 ba,"1,245 sqft","$853,807 ",Condo,2019,Forced air,Central,No Data,$607/month,,"$4,493 ","$3,027/mo",$573/mo,$287/mo,$607/mo
"408 Seaver St # 2, Boston, MA 02121","$380,000 ",5 bds,2 ba,"1,900 sqft","$373,146 ",Condo,1905,Forced air,Central,Off street,$290/month,Great solar potentialSun Number™: 91.18,"$2,095 ","$1,406/mo",$266/mo,$133/mo,$290/mo
"32 Spring Park Ave # 3, Boston, MA 02130","$879,000 ",3 bds,2 ba,"1,926 sqft","$899,043 ",Condo,1902,Baseboard,None,No Data,$270/month,Great solar potentialSun Number™: 91.98,"$4,621 ","$3,428/mo",$615/mo,$308/mo,$270/mo
"662 Massachusetts Ave APT 3, Boston, MA 02118","$649,000 ",2 bds,1 ba,775 sqft,"$636,869 ",Condo,1910,Baseboard,Central,No Data,$220/month,Great solar potentialSun Number™: 94.38,"$3,300 ","$2,398/mo",$454/mo,$227/mo,$220/mo
"668 Massachusetts Ave # G, Boston, MA 02118","$849,000 ",2 bds,2 ba,"1,034 sqft","$836,362 ",Condo,1900,Forced air,Central,1 space,$249/month,Great solar potentialSun Number™: 94.38,"$4,278 ","$3,137/mo",$594/mo,$297/mo,$249/mo
"1742 Commonwealth Ave APT 6, Boston, MA 02135","$475,000 ",2 bds,1 ba,760 sqft,"$467,849 ",Condo,1940,Other,Other,1 space,$426/month,Great solar potentialSun Number™: 83.45,"$2,682 ","$1,758/mo",$333/mo,$166/mo,$426/mo
"9 S Russell St APT 5, Boston, MA 02114","$769,000 ",2 bds,1 ba,853 sqft,"$749,687 ",Condo,1920,Other,No Data,No Data,$393/month,Great solar potentialSun Number™: 94.61,"$4,042 ","$2,842/mo",$538/mo,$269/mo,$393/mo
"210 South St # 8/2, Boston, MA 02111","$970,000 ",2 bds,2 ba,"1,343 sqft","$947,807 ",Condo,1920,Forced air,Central,1 space,$743/month,,"$5,545 ","$3,783/mo",$679/mo,$340/mo,$743/mo
"156 Porter St APT 236, East Boston, MA 02128","$459,000 ",1 bd,1 ba,860 sqft,,Condo,1910,"Baseboard, Forced air",Central,1 space,$261/month,Great solar potentialSun Number™: 91.4,"$2,441 ","$1,698/mo",$321/mo,$161/mo,$261/mo
"159 W Brookline St # 1, Boston, MA 02118","$649,000 ",1 bd,1 ba,506 sqft,"$1,081,349 ",Condo,1900,Forced air,No Data,1 space,"$24,849/month",Great solar potentialSun Number™: 85.58,"$27,929 ","$2,398/mo",$454/mo,$227/mo,"$24,849/mo"
"86 High St # 1, Charlestown, MA 02129","$1,039,000 ",3 bds,2 ba,"1,431 sqft","$1,033,989 ",Condo,1890,Gas,Central,No Data,$253/month,,"$5,396 ","$4,052/mo",$727/mo,$364/mo,$253/mo
"42 8th St APT 2102, Boston, MA 02129","$810,000 ",2 bds,2 ba,"1,108 sqft","$795,449 ",Condo,1899,Forced air,Central,1 space,$767/month,Great solar potentialSun Number™: 90.8,"$4,611 ","$2,993/mo",$567/mo,$284/mo,$767/mo
"145 Whitfield St APT 2, Boston, MA 02124","$425,000 ",2 bds,2 ba,791 sqft,"$417,788 ",Condo,1899,Forced air,Central,No Data,$216/month,,"$2,235 ","$1,573/mo",$298/mo,$149/mo,$216/mo
"40 Parker Hill Ave # 44, Boston, MA 02120","$20,000,000 ",78 bds,44 ba,"21,210 sqft",,Multi Family,1910,No Data,No Data,No Data,$943 ,,"$99,000 ","$78,000/mo","$14,000/mo","$7,000/mo",$0/mo
"47 Marine Rd # 1, Boston, MA 02127","$1,249,000 ",3 bds,3 ba,"1,750 sqft","$1,219,286 ",Condo,1905,Forced air,Central,2 spaces,$196/month,,"$6,379 ","$4,871/mo",$874/mo,$437/mo,$196/mo
"41 Cushing Ave # 2, Boston, MA 02125","$509,000 ",2 bds,2 ba,"1,130 sqft","$497,518 ",Condo,1899,Forced air,Central,1 space,$272/month,Candidate for a community solar programSun Number™: 22.38,"$2,690 ","$1,884/mo",$356/mo,$178/mo,$272/mo
"3 Hamlet St, Boston, MA 02125","$799,000 ",6 bds,3 ba,"3,387 sqft","$777,385 ",Multi Family,1905,Other,No Data,No Data,$236 ,Candidate for a community solar programSun Number™: 22.38,"$3,792 ","$2,953/mo",$559/mo,$280/mo,$0/mo
"13 Woodrow Ave, Boston, MA 02124","$287,910 ",3 bds,3 ba,"2,422 sqft","$388,975 ",Condo,2005,Forced air,No Data,1 space,No Data,Great solar potentialSun Number™: 93.8,"$1,368 ","$1,065/mo",$202/mo,$101/mo,$0/mo
"115 Cottage St # 3, Boston, MA 02128","$599,000 ",2 bds,2 ba,780 sqft,"$590,874 ",Condo,1930,Forced air,Central,No Data,$185/month,,"$3,027 ","$2,214/mo",$419/mo,$210/mo,$185/mo
