Title,Sale price,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Sunscore,Monthly cost,Principal & interest,Property taxes,Home insurance,HOA fee
"747 Emily Pl NW, Atlanta, GA 30318","$289,000 ",4 bds,2 ba,"1,500 sqft","$282,555 ",Single Family,2007,Forced air,Central,4 spaces,0.26 acres,Great solar potentialSun Number™: 92.22,"$1,420 ","$1,061/mo",$258/mo,$101/mo,$0/mo
"4896 Campbellton Rd SW, Atlanta, GA 30331","$80,000 ",3 bds,2 ba,"1,377 sqft",,Single Family,1957,Other,Other,No Data,2.41 acres,Candidate for a community solar programSun Number™: 20.21,$428 ,$329/mo,$71/mo,$28/mo,$0/mo
"621 Moreland Ave SE, Atlanta, GA","$574,900 ",4 bds,3 ba,"2,548 sqft","$554,367 ",Single Family,2019,Forced air,Central,Detached Garage,"7,492 sqft",Good solar potentialSun Number™: 66.63,"$2,846 ","$2,113/mo",$532/mo,$201/mo,$0/mo
"708 E Paces Ferry Rd NE, Atlanta, GA 30305","$1,195,000 ",5 bds,3 ba,"3,176 sqft","$1,148,287 ",Single Family,1930,Forced air,Central,3 spaces,0.5 acres,Great solar potentialSun Number™: 73.81,"$6,164 ","$4,664/mo","$1,066/mo",$418/mo,$16/mo
"1011 Regis Rd SE, Atlanta, GA 30315","$160,000 ",3 bds,2 ba,975 sqft,"$157,766 ",Single Family,1959,Forced air,Central,1 space,"9,300 sqft",,$814 ,$616/mo,$143/mo,$56/mo,$0/mo
"231 Glenwood Ave SE, Atlanta, GA 30312","$395,000 ",3 bds,3 ba,"1,586 sqft","$384,544 ",Single Family,2003,Forced air,Central,No Data,"4,748 sqft",Great solar potentialSun Number™: 76.23,"$1,940 ","$1,450/mo",$352/mo,$138/mo,$0/mo
"2503 Wyncreek Dr SW, Atlanta, GA 30331","Est. $298,365",6 bds,5 ba,"4,210 sqft","$298,365 ",Single Family,2004,Forced air,Central,2 spaces,0.29 acres,Great solar potentialSun Number™: 92.23,"$1,466 ","$1,095/mo",$266/mo,$104/mo,$0/mo
"1747 Moores Mill Rd NW, Atlanta, GA 30318","$435,000 ",4 bds,2 ba,"1,375 sqft","$424,883 ",Single Family,1952,Other,"Central, Other",Off street,0.28 acres,Candidate for a community solar programSun Number™: 20.21,"$2,137 ","$1,597/mo",$388/mo,$152/mo,$0/mo
"1834 Marietta Rd NW, Atlanta, GA 30318","$349,900 ",4 bds,4 ba,"2,277 sqft","$335,762 ",Single Family,1920,Forced air,Central,3 spaces,"9,173 sqft",Great solar potentialSun Number™: 70.61,"$1,719 ","$1,284/mo",$312/mo,$122/mo,$0/mo
"501 Dargan Pl SW, Atlanta, GA 30310","Est. $178,774",3 bds,2 ba,"1,570 sqft","$178,774 ",Single Family,1920,"Forced air, Other",Central,3 spaces,"6,303 sqft",Limited solar potentialSun Number™: 58.62,$910 ,$688/mo,$159/mo,$63/mo,$0/mo
"2182 Cascade Rd SW, Atlanta, GA 30311","$187,500 ",3 bds,1 ba,"1,763 sqft","$183,895 ",Single Family,1925,Other,Central,3 spaces,"10,018 sqft",Candidate for a community solar programSun Number™: 20.22,$954 ,$722/mo,$167/mo,$66/mo,$0/mo
"3184 Wood Valley Rd NW, Atlanta, GA 30327","$2,925,000 ",3 bds,4 ba,"5,278 sqft",,Single Family,2008,Forced air,Central,2 spaces,1 acre,,"$15,049 ","$11,417/mo","$2,608/mo","$1,024/mo",$0/mo
"Cali Plan, Hampshire Park","$204,100+",4 bds,2 ba,"1,774 sqft","$197,896 ",Single Family,2019,No Data,No Data,2 spaces,No Data,,"$1,039 ",,,,
"220 Lake Forrest Ln NE, Atlanta, GA","$2,875,000 ",5 bds,7 ba,"5,630 sqft",,Single Family,2019,Forced air,Central,3 spaces,0.41 acres,Candidate for a community solar programSun Number™: 20.21,"$14,792 ","$11,222/mo","$2,564/mo","$1,006/mo",$0/mo
"437 Griffin St NW, Atlanta, GA 30318","$259,900 ",3 bds,2 ba,"1,313 sqft","$252,049 ",Single Family,1940,Forced air,Central,No Data,"4,477 sqft",Great solar potentialSun Number™: 73.02,"$1,277 ",$954/mo,$232/mo,$91/mo,$0/mo
"706 S Grand Ave NW, Atlanta, GA 30318","$150,000 ",3 bds,2 ba,"1,317 sqft","$145,414 ",Single Family,1920,Forced air,Central,"Carport, Detached Garage","7,753 sqft",Candidate for a community solar programSun Number™: 37.82,$764 ,$577/mo,$134/mo,$53/mo,$0/mo
"3160 Welmingham Dr SW # 264, Atlanta, GA 30331","$188,000 ",3 bds,3 ba,"1,376 sqft","$181,037 ",Single Family,2005,Forced air,Central,No Data,No Data,,"$1,007 ",$724/mo,$168/mo,$66/mo,$50/mo
"1980 W Paces Ferry Rd NW, Atlanta, GA 30327","$3,575,000 ",7 bds,11 ba,"9,947 sqft",,Single Family,1999,Heat pump,Central,1 space,2.82 acres,Great solar potentialSun Number™: 92.21,"$18,393 ","$13,954/mo","$3,188/mo","$1,251/mo",$0/mo
"1066 N Virginia Ave NE, Atlanta, GA 30306","$795,000 ",3 bds,2 ba,"1,750 sqft","$784,109 ",Single Family,1930,Forced air,Central,1 space,"7,492 sqft",Great solar potentialSun Number™: 89.83,"$4,090 ","$3,103/mo",$709/mo,$278/mo,$0/mo
"924 Cumberland Rd NE, Atlanta, GA","$2,395,000 ",6 bds,7 ba,"7,531 sqft","$2,280,952 ",Single Family,2019,Forced air,Central,Attached Garage,1.2 acres,Candidate for a community solar programSun Number™: 20.23,"$12,322 ","$9,348/mo","$2,136/mo",$838/mo,$0/mo
"Ashley Plan, Summit At Stonewall Tell","$334,990+",4 bds,3 ba,"3,138 sqft","$321,426 ",Single Family,2019,No Data,No Data,2 spaces,No Data,Great solar potentialSun Number™: 92.23,"$1,646 ",,,,
"3692 Castlegate Dr NW, Atlanta, GA 30327","$2,600,000 ",6 bds,7 ba,"6,200 sqft","$2,447,131 ",Single Family,2019,Forced air,Central,6 spaces,1.23 acres,Candidate for a community solar programSun Number™: 20.21,"$13,377 ","$10,149/mo","$2,318/mo",$910/mo,$0/mo
"Bellview Plan, Summit At Stonewall Tell","$315,990+",4 bds,3 ba,"3,236 sqft","$303,523 ",Single Family,2019,No Data,No Data,2 spaces,No Data,Great solar potentialSun Number™: 92.23,"$1,552 ",,,,
"2393 Baker Rd NW, Atlanta, GA 30318","$89,900 ",3 bds,2 ba,725 sqft,"$74,988 ",Single Family,1945,Other,Other,Detached Garage,"8,276 sqft",Good solar potentialSun Number™: 69.02,$481 ,$370/mo,$80/mo,$31/mo,$0/mo
"887 Proctor Oaks St NW, Atlanta, GA 30318","$415,000 ",4 bds,4 ba,"2,492 sqft","$408,491 ",Townhouse,2017,Forced air,Central,4 spaces,"3,920 sqft",,"$2,239 ","$1,523/mo",$370/mo,$145/mo,$200/mo
"1905 Whittier Ave NW, Atlanta, GA 30318","$330,000 ",2 bds,2 ba,"1,192 sqft","$321,242 ",Single Family,1904,Gas,Central,2 spaces,"5,532 sqft",Good solar potentialSun Number™: 66.61,"$1,621 ","$1,211/mo",$294/mo,$116/mo,$0/mo
"626 Parkway Dr NE # 14, Atlanta, GA","$575,000 ",3 bds,4 ba,#NAME?,"$554,555 ",Townhouse,2019,Forced air,Central,Attached Garage,No Data,,"$3,077 ","$2,113/mo",$513/mo,$201/mo,$250/mo
"140 Barksdale Dr NE, Atlanta, GA 30309","$1,899,900 ",4 bds,5 ba,"6,300 sqft",,Single Family,2010,Forced air,Central,5 spaces,"7,392 sqft",Candidate for a community solar programSun Number™: 20.23,"$9,775 ","$7,416/mo","$1,694/mo",$665/mo,$0/mo
"225 Blackland Rd NW, Atlanta, GA 30342","$5,495,000 ",6 bds,9 ba,"13,000 sqft","$5,112,071 ",Single Family,1971,"Forced air, Other","Central, Other",9 spaces,1.58 acres,,"$28,271 ","$21,448/mo","$4,900/mo","$1,923/mo",$0/mo
"3135 E Wood Valley Rd NW, Atlanta, GA 30327","$1,995,000 ",5 bds,6 ba,"4,800 sqft","$1,910,270 ",Single Family,2019,Forced air,Central,2 spaces,0.94 acres,,"$10,264 ","$7,787/mo","$1,779/mo",$698/mo,$0/mo
"1290 1290 Graymont Dr, Atlanta, GA 30310","$130,000 ",3 bds,2 ba,"1,050 sqft","$127,327 ",Single Family,1950,Forced air,No Data,No Data,"5,662 sqft",Candidate for a community solar programSun Number™: 20.22,$662 ,$500/mo,$116/mo,$46/mo,$0/mo
"1321 Lorenzo Dr SW, Atlanta, GA 30310","$229,900 ",5 bds,2 ba,"2,192 sqft","$221,385 ",Single Family,1949,Forced air,Central,2 spaces,0.32 acres,Great solar potentialSun Number™: 80.22,"$1,170 ",$885/mo,$205/mo,$80/mo,$0/mo
"1020 Parsons St SW, Atlanta, GA 30314","$285,000 ",3 bds,2 ba,"1,220 sqft","$279,794 ",Single Family,1924,Forced air,Central,No Data,"5,009 sqft",Great solar potentialSun Number™: 85.02,"$1,400 ","$1,046/mo",$254/mo,$100/mo,$0/mo
"338 Dargan Pl SW, Atlanta, GA 30310","$25,000 ",4 bds,3 ba,"1,400 sqft",,Single Family,1935,Forced air,Central,No Data,"5,135 sqft",Candidate for a community solar programSun Number™: 20.22,$134 ,$103/mo,$22/mo,$9/mo,$0/mo
"10 Valley Rd NW, Atlanta, GA 30305","$4,495,000 ",6 bds,8 ba,"6,991 sqft","$4,227,981 ",Single Family,1997,Forced air,Central,6 spaces,1.21 acres,Great solar potentialSun Number™: 89.81,"$23,126 ","$17,545/mo","$4,008/mo","$1,573/mo",$0/mo
