Title,Title_link,list-card-price,list-card-type,Field1,Field2,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA/Lot,Price/sqft,Monthly cost
"199 12th St NE UNIT 9, Atlanta, GA 30309",https://www.zillow.com/homedetails/199-12th-St-NE-UNIT-9-Atlanta-GA-30309/2088491045_zpid/,"$699,000",Condo for sale,2 bds,3 ba,"2,268 sqft","$682,023",Condo,2003,"Forced air, Heat pump",Central,2 spaces,$382/month,$308,"$3,915"
"Brookwood Plan, Cascades",https://www.zillow.com/community/cascades/2084012306_zpid/,"$215,900+",New construction,3 bds,3.5 ba,"1,685 sqft","$210,302",Townhouse,2019,No Data,No Data,2 spaces,No Data,$128,"$1,105"
"753 Fraser St SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/753-Fraser-St-SE-Atlanta-GA-30315/69345538_zpid/,"$659,000",For sale by owner,4 bds,3 ba,"2,062 sqft","$632,799",Single Family,2019,No Data,No Data,2 spaces,"4,503 sqft",$320,"$3,331"
"357 Pickfair Ave SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/357-Pickfair-Ave-SW-Atlanta-GA-30315/35891786_zpid/,"Est. $217,987",Pre-foreclosure / Auction,5 bds,-- ba,"2,438 sqft","$217,987",Single Family,2013,Forced air,Central,No Data,0.3 acres,,"$1,071"
"28 Scott St SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/28-Scott-St-SW-Atlanta-GA-30315/35891679_zpid/,"Est. $76,041",Pre-foreclosure / Auction,2 bds,1 ba,640 sqft,"$76,041",Single Family,1920,None,No Data,No Data,"9,901 sqft",,$406
"2508 Alston Dr SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/2508-Alston-Dr-SE-Atlanta-GA-30317/14457442_zpid/,"Est. $583,446",Pre-foreclosure / Auction,4 bds,4 ba,536 sqft,"$583,446",Single Family,1948,Forced air,Central,Attached Garage,"8,712 sqft",,"$2,969"
"1506 Mecaslin St NW, Atlanta, GA 30309",https://www.zillow.com/homedetails/1506-Mecaslin-St-NW-Atlanta-GA-30309/35909061_zpid/,"Est. $278,785",Pre-foreclosure / Auction,2 bds,2 ba,"1,612 sqft","$278,785",Multi Family,1920,Forced air,Central,1 space,,,"$1,369"
"123 Atlanta Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/123-Atlanta-Ave-SE-Atlanta-GA-30315/35882535_zpid/,"Est. $302,609",Pre-foreclosure / Auction,3 bds,2 ba,"1,832 sqft","$302,609",Single Family,1920,Forced air,None,No Data,"7,400 sqft",,"$1,549"
"830 Westmont Rd SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/830-Westmont-Rd-SW-Atlanta-GA-30311/35842247_zpid/,"Est. $221,278",Pre-foreclosure / Auction,9 bds,6 ba,"2,277 sqft","$221,278",Single Family,1930,Wall,"Central, Wall, Refrigeration",2 spaces,"7,840 sqft",,"$1,133"
"3727 Newhalem St SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/3727-Newhalem-St-SW-Atlanta-GA-30331/69377056_zpid/,"Est. $226,999",Pre-foreclosure / Auction,4 bds,3.5 ba,"3,330 sqft","$226,999",Single Family,2004,Forced air,Central,No Data,"8,276 sqft",,"$1,115"
