Address,Soldprice,Bedrooms,Bathrooms,Area,Year built,LRY,Parking,Lot,Zestimate,lat,lng,label,Avgprice,Type_Single Family,Type_Townhouse,Heating_Baseboard,Heating_Electric,Heating_Forced air,"Heating_Forced air, Heat pump","Heating_Forced air, Other","Heating_Forced air, Radiant",Heating_Gas,Heating_Heat pump,"Heating_Heat pump, Other",Heating_No Data,Heating_None,Heating_Other,Heating_Radiant,Heating_Stove,Cooling_Central,"Cooling_Central, Other","Cooling_Central, Refrigeration",Cooling_No Data,Cooling_None,Cooling_Other
30318,-0.1706225083439745,0.0,-0.5571011354628996,-0.7809299883187061,-1.9837137646127028,1.361392263221922,-0.3282727912850851,-0.031830670445184645,-0.19346272150994226,33.792301177978516,-84.44786071777344,0,-0.60014594,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30305,0.5111234543856701,0.0,2.254621065873382,0.3635852365914628,1.445569058096288,-5.804995925067511e-13,1.1400511632580099e-14,1.078999455387287e-15,0.5277509162354158,33.835697174072266,-84.38911437988281,4,0.67727894,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
30324,-0.5277275364404547,0.0,-0.5571011354628996,-0.7364573967221966,-0.43598434905377775,-0.8114283389241297,1.1400511632580099e-14,-0.30866816453622975,-0.5641301151510046,33.81840515136719,-84.3581771850586,1,0.525583,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30342,-0.5764236766354293,0.0,2.254621065873382,-0.26295509795936106,0.04957782053333602,-5.804995925067511e-13,1.1400511632580099e-14,-0.8401211875253252,-0.6157897758800935,33.882179260253906,-84.37528991699219,3,0.2691243,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30308,1.0078240843744108,0.0,-0.3866937293213068,1.4152312261089208,1.1420927021043419,1.2527512331146193,0.9553107072229334,-0.6029976472932467,1.0380452484353893,33.77112579345703,-84.37810516357422,1,0.525583,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30318,-0.858861289766282,0.0,2.254621065873382,-0.8803393107109035,1.0813974309059526,1.1441102030073167,2.238894205730952,-0.9412355913954586,-0.9119356497432121,33.792301177978516,-84.44786071777344,0,-0.60014594,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30331,-1.2857641188088926,0.0,-0.5571011354628996,-1.4048542880697352,-0.2842461710578047,-1.3003129744069912,-1.6118562897931037,-0.10304805287092741,-1.357674061851523,33.707454681396484,-84.54415130615234,2,-1.4018317,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30305,0.39749912726406267,0.0,-0.5571011354628996,-0.5075543517401628,-0.6180701626489454,-0.8114283389241297,-0.3282727912850851,1.647917861560887,0.41580921410925736,33.835697174072266,-84.38911437988281,4,0.67727894,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30331,-1.3393298730233643,0.0,-0.6423048385336961,-1.306752983077435,-0.31459380665699926,-5.804995925067511e-13,2.238894205730952,-0.058782612165202454,-1.5851631272565005,33.707454681396484,-84.54415130615234,2,-1.4018317,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30318,-0.8199043776103027,0.0,2.254621065873382,-0.8803393107109035,1.0510497953067581,1.0897896879536655,-1.6118562897931037,-0.9373088184296282,-0.8710794046032334,33.792301177978516,-84.44786071777344,0,-0.60014594,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30318,-1.491911112300952,0.0,-0.5571011354628996,-1.1877233996867775,-0.31459380665699926,-1.3546334894606427,-1.6118562897931037,2.891919537135966,-1.3875810368120205,33.792301177978516,-84.44786071777344,0,-0.60014594,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30305,1.3714219311635545,0.0,2.254621065873382,1.7997883416787375,1.445569058096288,-5.804995925067511e-13,2.238894205730952,1.078999455387287e-15,1.4327345539138387,33.835697174072266,-84.38911437988281,4,0.67727894,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
