Title,Title_link,list-card-price,Field1,Field2,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price/sqft,Monthly cost
"Opus Place A Plan, No. 2 Opus Place",https://www.zillow.com/community/no-2-opus-place/2085110480_zpid/,"$895,000+",2 bds,3 ba,"1,378 sqft","$867,061",Condo,2019,No Data,No Data,2 spaces,No Data,$649,"$4,553"
"4065 Paran Trl NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/4065-Paran-Trl-NW-Atlanta-GA-30327/35918253_zpid/,"$1,250,000",5 bds,5 ba,"5,775 sqft","$1,188,416",Single Family,1951,Forced air,Central,1 space,1.31 acres,$216,"$6,359"
"343 8th St NE APT A2, Atlanta, GA 30309",https://www.zillow.com/homedetails/343-8th-St-NE-APT-A2-Atlanta-GA-30309/2120447591_zpid/,"$259,000",2 bds,1 ba,810 sqft,"$247,389",Condo,2019,Forced air,Central,No Data,$18/month,$320,"$1,292"
"836 Winslow Way, Atlanta, GA",https://www.zillow.com/homedetails/836-Winslow-Way-Atlanta-GA-30318/2082388920_zpid/,"$384,900",3 bds,4 ba,"2,106 sqft","$375,994",Single Family,2019,No Data,No Data,2 spaces,No Data,$183,"$1,893"
"840 Winslow Way, Atlanta, GA",https://www.zillow.com/homedetails/840-Winslow-Way-Atlanta-GA-30318/2082389154_zpid/,"$384,900",3 bds,4 ba,"2,106 sqft","$375,994",Single Family,2019,No Data,No Data,2 spaces,No Data,$183,"$1,893"
"844 Winslow Way, Atlanta, GA",https://www.zillow.com/homedetails/844-Winslow-Way-Atlanta-GA-30318/2082389351_zpid/,"$399,900",3 bds,4 ba,"2,235 sqft","$390,647",Single Family,2019,No Data,No Data,2 spaces,No Data,$179,"$1,967"
"832 Winslow Way, Atlanta, GA",https://www.zillow.com/homedetails/832-Winslow-Way-Atlanta-GA-30318/2082389396_zpid/,"$399,900",3 bds,4 ba,"2,235 sqft","$390,647",Single Family,2019,No Data,No Data,2 spaces,No Data,$179,"$1,967"
"886 Wildwood Rd NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/886-Wildwood-Rd-NE-Atlanta-GA-30324/35929230_zpid/,"$1,100,000",4 bds,4 ba,"3,904 sqft","$1,063,613",Single Family,1950,Forced air,Central,2 spaces,0.42 acres,$282,"$5,596"
"764 S Grand Ave NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/764-S-Grand-Ave-NW-Atlanta-GA-30318/35856717_zpid/,"$76,000",3 bds,2 ba,869 sqft,,Single Family,1920,Forced air,Central,No Data,"7,548 sqft",$87,$406
"1312 Nash Rd NW, Atlanta, GA 30331",https://www.zillow.com/homedetails/1312-Nash-Rd-NW-Atlanta-GA-30331/35924956_zpid/,"$51,000",2 bds,1 ba,852 sqft,"$48,982",Single Family,1935,Other,Central,No Data,"10,049 sqft",$60,$272
"4005 Hazel Nut Ln, Atlanta, GA",https://www.zillow.com/homedetails/4005-Hazel-Nut-Ln-Atlanta-GA-30342/283677567_zpid/,"$999,900",4 bds,5 ba,"3,794 sqft","$968,711",Single Family,2019,No Data,No Data,No Data,"3,485 sqft",$264,"$5,087"
"4018 Hazel Nut Ln, Atlanta, GA",https://www.zillow.com/homedetails/4018-Hazel-Nut-Ln-Atlanta-GA-30342/283678423_zpid/,"$999,900",4 bds,5 ba,"3,509 sqft","$968,634",Single Family,2019,No Data,No Data,No Data,"2,614 sqft",$285,"$5,087"
"4012 Hazel Nut Lane Atlanta Georgia # 30342, Atlanta, GA",https://www.zillow.com/homedetails/4012-Hazel-Nut-Lane-Atlanta-Georgia-30342-Atlanta-GA-30342/2082390378_zpid/,"$1,199,900",4 bds,5 ba,"3,755 sqft","$1,154,976",Single Family,2019,No Data,No Data,No Data,No Data,$320,"$6,104"
"B-3 Plan, 788 West Midtown",https://www.zillow.com/community/788-west-midtown/2085118308_zpid/,"$652,900+",2 bds,3 ba,"1,472 sqft","$632,868",Condo,2019,Heat pump,Central,Attached Garage,No Data,$444,"$3,322"
"400 17th St NW UNIT 2135, Atlanta, GA 30363",https://www.zillow.com/homedetails/400-17th-St-NW-UNIT-2135-Atlanta-GA-30363/71755200_zpid/,"$188,000",1 bd,1 ba,750 sqft,,Condo,2005,Heat pump,Central,Detached Garage,$276/month,$251,"$1,231"
"1266 Van Allen Mews NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1266-Van-Allen-Mews-NW-Atlanta-GA-30318/71752809_zpid/,"Est. $302,207",2 bds,2.5 ba,"1,178 sqft","$302,207",Single Family,2005,Forced air,Central,4 spaces,"1,002 sqft",,"$1,486"
"1969 Newfort Dr NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1969-Newfort-Dr-NW-Atlanta-GA-30318/249123667_zpid/,"Est. $279,524",2 bds,-- ba,-- sqft,"$279,524",Single Family,2016,Gas,No Data,No Data,"1,442 sqft",,"$1,375"
"3071 Lenox Rd NE APT 40, Atlanta, GA 30324",https://www.zillow.com/homedetails/3071-Lenox-Rd-NE-APT-40-Atlanta-GA-30324/35938832_zpid/,"$300,000",2 bds,2 ba,"1,284 sqft","$298,182",Condo,1987,Forced air,Central,2 spaces,$391/month,$234,"$1,866"
"1280 Atlantic Dr NW, Atlanta, GA",https://www.zillow.com/homedetails/1280-Atlantic-Dr-NW-Atlanta-GA-30318/88816781_zpid/,"$525,000",2 bds,4 ba,"1,738 sqft","$515,749",Townhouse,2006,"Forced air, Heat pump",Central,4 spaces,871 sqft,$302,"$2,787"
"224 Triumph Dr NW # 224, Atlanta, GA 30327",https://www.zillow.com/homedetails/224-Triumph-Dr-NW-224-Atlanta-GA-30327/2137429005_zpid/,"$295,900",3 bds,3 ba,"1,448 sqft","$290,495",Townhouse,1970,Forced air,Central,2 spaces,"1,446 sqft",$204,"$1,999"
"120 Peachtree Memorial Dr NW # 99-B1, Atlanta, GA",https://www.zillow.com/homedetails/120-Peachtree-Memorial-Dr-NW-99-B1-Atlanta-GA-30309/2082395780_zpid/,"$299,900",2 bds,2 ba,847 sqft,,Condo,2019,Forced air,Central,No Data,No Data,$354,"$1,475"
"120 Peachtree Memorial Dr NW # 68-3, Atlanta, GA",https://www.zillow.com/homedetails/120-Peachtree-Memorial-Dr-NW-68-3-Atlanta-GA-30309/2082395779_zpid/,"$399,900",2 bds,2 ba,"1,357 sqft",,Condo,2019,Forced air,Central,No Data,No Data,$295,"$1,967"
"3710 Powers Ferry Rd NW, Atlanta, GA 30342",https://www.zillow.com/homedetails/3710-Powers-Ferry-Rd-NW-Atlanta-GA-30342/35942397_zpid/,"$724,900",5 bds,4 ba,"2,680 sqft",,Single Family,1954,Forced air,Central,1 space,0.52 acres,$270,"$3,688"
"1055 Piedmont Ave NE UNIT 106, Atlanta, GA 30309",https://www.zillow.com/homedetails/1055-Piedmont-Ave-NE-UNIT-106-Atlanta-GA-30309/2082396808_zpid/,"$294,900",1 bd,1 ba,746 sqft,"$285,133",Condo,2006,No Data,No Data,Off street,$293/month,$395,"$1,743"
"3150 W Roxboro Rd NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/3150-W-Roxboro-Rd-NE-Atlanta-GA-30324/35938364_zpid/,"$589,000",4 bds,3 ba,"1,625 sqft","$577,128",Single Family,1950,Forced air,Central,1 space,0.44 acres,$362,"$2,906"
"267 The Prado NE, Atlanta, GA 30350",https://www.zillow.com/homedetails/267-The-Prado-NE-Atlanta-GA-30350/35897681_zpid/,"$3,200,000",5 bds,5 ba,"5,211 sqft","$3,035,383",Single Family,1926,Forced air,Other,"Off street, Detached Garage",0.32 acres,$614,"$16,279"
"2901 Lenox Rd NE # 202, Atlanta, GA 30324",https://www.zillow.com/homedetails/2901-Lenox-Rd-NE-202-Atlanta-GA-30324/35935808_zpid/,"$260,000",2 bds,2 ba,"1,264 sqft","$258,640",Condo,1980,Forced air,Central,2 spaces,$355/month,$206,"$1,634"
"216 Semel Dr NW UNIT 342, Atlanta, GA 30309",https://www.zillow.com/homedetails/216-Semel-Dr-NW-UNIT-342-Atlanta-GA-30309/2082399561_zpid/,"$266,950",1 bd,1.5 ba,-- sqft,"$257,673",Townhouse,2006,Heat pump,Central,No Data,435 sqft,No Data,"$1,503"
"550 Orme Cir NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/550-Orme-Cir-NE-Atlanta-GA-30306/35931152_zpid/,"$1,654,000",0.31 acres lot,,,,,,,,,,,"$8,414"
"175 15th St NE SUITE 408, Atlanta, GA 30309",https://www.zillow.com/homedetails/175-15th-St-NE-SUITE-408-Atlanta-GA-30309/35898165_zpid/,"$379,000",2 bds,2 ba,"1,205 sqft","$372,387",Condo,1989,Forced air,Central,2 spaces,$508/month,$315,"$2,372"
"2553 Northside Dr NW, Atlanta, GA 30305",https://www.zillow.com/homedetails/2553-Northside-Dr-NW-Atlanta-GA-30305/35907838_zpid/,"$794,500",5 bds,4 ba,"3,901 sqft","$768,016",Single Family,1961,Forced air,Central,No Data,0.77 acres,$204,"$4,042"
"3107 Peachtree Rd NE # 1105, Atlanta, GA 30305",https://www.zillow.com/homedetails/3107-Peachtree-Rd-NE-1105-Atlanta-GA-30305/2082401847_zpid/,"$2,095,000",2 bds,3 ba,"2,481 sqft",,Condo,No Data,Electric,Central,No Data,No Data,$844,"$10,658"
"4337 Town Commons Cir NE, Atlanta, GA 30319",https://www.zillow.com/homedetails/4337-Town-Commons-Cir-NE-Atlanta-GA-30319/35903298_zpid/,"$1,375,000",5 bds,6 ba,"3,757 sqft","$1,309,047",Single Family,1991,Forced air,Central,No Data,0.41 acres,$366,"$7,024"
"2145 Colvin Ct NW # 26, Atlanta, GA 30318",https://www.zillow.com/homedetails/2145-Colvin-Ct-NW-26-Atlanta-GA-30318/2082404122_zpid/,"$328,350",3 bds,4 ba,"1,953 sqft","$323,725",Townhouse,2019,Heat pump,Central,No Data,No Data,$168,"$1,740"
"2151 Colvin Ct NW # 29, Atlanta, GA 30318",https://www.zillow.com/homedetails/2151-Colvin-Ct-NW-29-Atlanta-GA-30318/2082404640_zpid/,"$341,220",3 bds,4 ba,"1,952 sqft","$336,345",Townhouse,2019,Heat pump,Central,No Data,No Data,$175,"$1,803"
"347 Ardmore Ct NW, Atlanta, GA 30309",https://www.zillow.com/homedetails/347-Ardmore-Ct-NW-Atlanta-GA-30309/118453989_zpid/,"$557,000",4 bds,4 ba,"2,195 sqft","$545,204",Condo,2011,Forced air,Central,2 spaces,$325/month,$254,"$3,064"
"3777 Peachtree Rd NE APT 1012, Brookhaven, GA 30319",https://www.zillow.com/homedetails/3777-Peachtree-Rd-NE-APT-1012-Brookhaven-GA-30319/65465337_zpid/,"$252,650",2 bds,2 ba,"1,035 sqft","$249,281",Condo,1996,"Forced air, Heat pump",Central,2 spaces,$434/month,$244,"$1,676"
"970 Sidney Marcus Blvd NE UNIT 2101, Atlanta, GA 30324",https://www.zillow.com/homedetails/970-Sidney-Marcus-Blvd-NE-UNIT-2101-Atlanta-GA-30324/65464932_zpid/,"$225,000",2 bds,2 ba,"1,165 sqft","$224,998",Condo,1988,Forced air,Central,2 spaces,$370/month,$193,"$1,512"
"49 Ivy Trl NE, Atlanta, GA 30342",https://www.zillow.com/homedetails/49-Ivy-Trl-NE-Atlanta-GA-30342/35942563_zpid/,"$324,900",3 bds,3 ba,"1,632 sqft","$314,200",Townhouse,1972,Forced air,Central,2 spaces,"1,633 sqft",$199,"$1,978"
